date, pm25, pm10, o3, no2, so2, co
2019/3/28, 22, 10, 13, 8, , 
2019/3/29, 27, 12, 11, 8, , 
2019/3/30, 31, 12, 11, 7, , 
2019/3/31, 31, 10, 12, 5, , 
2019/4/1, 25, 8, 11, 8, , 
2018/10/3, 24, 8, 6, 4, , 
2018/10/4, 22, 10, 6, 5, , 
2018/10/5, 26, 8, 6, 4, , 
2018/10/6, 20, 14, 5, 4, , 
2018/10/7, 30, 8, 5, 2, , 
2018/10/8, 20, 7, 6, 5, , 
2018/10/9, 17, 7, 4, 4, , 
2018/10/10, 19, 13, 4, 4, , 
2018/10/11, 32, 16, 4, 5, , 
2018/10/12, 47, 15, 6, 4, , 
2018/10/13, 44, 9, 6, 5, , 
2018/10/14, 36, 10, 7, 5, , 
2018/10/15, 29, 14, 3, 6, , 
2018/10/16, 34, 16, 2, 7, , 
2018/10/17, 36, 19, 2, 10, , 
2018/10/18, 43, 20, 2, 10, , 
2018/10/19, 44, 24, 2, 10, , 
2018/10/20, 56, 17, 4, 6, , 
2018/10/21, 42, 16, 3, 5, , 
2018/10/22, 32, 16, 2, 7, , 
2018/10/23, 43, 18, 4, 7, , 
2018/10/24, 59, 12, 7, 6, , 
2018/10/25, 43, 5, 8, 5, , 
2018/10/26, 15, 8, 7, 6, , 
2018/10/27, 26, 8, 9, 2, , 
2018/10/28, 29, 5, 10, 5, , 
2018/10/29, 12, 4, 9, 4, , 
2018/10/30, 12, 6, 5, 4, , 
2018/10/31, 23, 5, 9, 4, , 
2018/11/1, 16, 4, 8, 4, , 
2018/11/2, 11, 6, 9, 8, , 
2018/11/3, 25, 6, 9, 5, , 
2018/11/4, 23, 8, 13, 4, , 
2018/11/5, 23, 9, 5, 6, , 
2018/11/6, 21, 6, 8, 3, , 
2018/11/7, 21, 10, 4, 4, , 
2018/11/8, 28, 12, 2, 5, , 
2018/11/9, 48, 9, 4, 5, , 
2018/11/10, 40, 8, 4, 3, , 
2018/11/11, 27, 10, 2, 3, , 
2018/11/12, 31, 7, 3, 3, , 
2018/11/13, 21, 9, 5, 5, , 
2018/11/14, 32, 18, 13, 5, , 
2018/11/15, 50, 14, 3, 6, , 
2018/11/16, 35, 6, 4, 4, , 
2018/11/17, 21, 9, 3, 6, , 
2018/11/18, 31, 6, 1, 2, , 
2018/11/19, 8, 14, 1, 8, , 
2018/11/20, 60, 14, 1, 7, , 
2018/11/21, 46, 9, 8, 6, , 
2018/11/22, 36, 4, 10, 4, , 
2018/11/23, 9, 4, 10, 5, , 
2018/11/24, 16, 5, 6, 3, , 
2018/11/25, 19, 4, 11, 2, , 
2018/11/26, 12, 4, 10, 5, , 
2018/11/27, 18, 7, 10, 6, , 
2018/11/28, 16, 5, 8, 4, , 
2018/11/29, 12, 6, 5, 5, , 
2018/11/30, 22, 4, 9, 3, , 
2018/12/1, 9, 6, 4, 4, , 
2018/12/2, 22, 7, 3, 4, , 
2018/12/3, 26, 8, 3, 5, , 
2018/12/4, 27, 7, 3, 7, , 
2018/12/5, 33, 9, 3, 8, , 
2018/12/6, 20, 8, 2, 9, , 
2018/12/7, 30, 10, 2, 8, , 
2018/12/8, 42, 8, 6, 5, , 
2018/12/9, 21, 4, 6, 7, , 
2018/12/10, 15, 6, 8, 6, , 
2018/12/11, 22, 4, 11, 5, , 
